plateifu,ew_1re,sn3_lier05_class,sn3_lier05_central,sn3_lier05_outer,sn3_lier05_has_sy_annulus,sn3_lier05_last_lier_re,sn2_lier05_class,sn2_lier05_central,sn2_lier05_outer,sn2_lier05_has_sy_annulus,sn2_lier05_last_lier_re,sn3_lier04_class,sn3_lier04_central,sn3_lier04_outer,sn3_lier04_has_sy_annulus,sn3_lier04_last_lier_re,sn3_lier06_class,sn3_lier06_central,sn3_lier06_outer,sn3_lier06_has_sy_annulus,sn3_lier06_last_lier_re,baseline_radial_profile,bpt_figure_path
8564-6101,0.2905582694709898,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,,/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/All Classifications/Figures/8564/8564-6101.png
8564-6102,11.837394871713148,SF,SF,Bad_SNR (Lineless),False,nan,SF,SF,Bad_SNR (Lineless),False,nan,SF,SF,Bad_SNR (Lineless),False,nan,SF,SF,Bad_SNR (Lineless),False,nan,"[{""r"": 0.14508989, ""class"": ""SF""}, {""r"": 0.29017978, ""class"": ""SF""}, {""r"": 0.43526967, ""class"": ""SF""}, {""r"": 0.58035956, ""class"": ""SF""}, {""r"": 0.7254494499999999, ""class"": ""SF""}, {""r"": 0.8705393399999999, ""class"": ""SF""}, {""r"": 1.0156292299999998, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.1607191199999998, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.3058090099999997, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.4508988999999997, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.5959887899999996, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/All Classifications/Figures/8564/8564-6102.png
8564-6103,3.410418156889952,SF,SF,Bad_SNR (Lineless),False,nan,outLIER,SF,Bad_SNR (Lineless),False,0.48293928,SF,SF,Bad_SNR (Lineless),False,nan,SF,SF,Bad_SNR (Lineless),False,nan,"[{""r"": 0.04533984, ""class"": ""SF""}, {""r"": 0.09067968, ""class"": ""SF""}, {""r"": 0.13601952, ""class"": ""SF""}, {""r"": 0.18135936, ""class"": ""SF""}, {""r"": 0.2266992, ""class"": ""SF""}, {""r"": 0.27203904, ""class"": ""SF""}, {""r"": 0.31737888000000003, ""class"": ""SF""}, {""r"": 0.36271872000000005, ""class"": ""SF""}, {""r"": 0.40805856000000007, ""class"": ""SF""}, {""r"": 0.4533984000000001, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/All Classifications/Figures/8564/8564-6103.png
8564-6104,32.16579097288889,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,"[{""r"": 0.16786883, ""class"": ""SF""}, {""r"": 0.33573766, ""class"": ""SF""}, {""r"": 0.50360649, ""class"": ""SF""}, {""r"": 0.67147532, ""class"": ""SF""}, {""r"": 0.83934415, ""class"": ""SF""}, {""r"": 1.00721298, ""class"": ""SF""}, {""r"": 1.17508181, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.34295064, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.51081947, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.6786883, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/All Classifications/Figures/8564/8564-6104.png
8564-9101,18.539045171903325,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,"[{""r"": 0.1829121, ""class"": ""SF""}, {""r"": 0.3658242, ""class"": ""SF""}, {""r"": 0.5487363, ""class"": ""SF""}, {""r"": 0.7316484, ""class"": ""SF""}, {""r"": 0.9145605, ""class"": ""SF""}, {""r"": 1.0974726, ""class"": ""SF""}, {""r"": 1.2803847, ""class"": ""SF""}, {""r"": 1.4632968, ""class"": ""SF""}, {""r"": 1.6462089, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.829121, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/All Classifications/Figures/8564/8564-9101.png
8564-9102,10.140030256589148,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,"[{""r"": 0.31849756, ""class"": ""SF""}, {""r"": 0.63699512, ""class"": ""SF""}, {""r"": 0.9554926800000001, ""class"": ""SF""}, {""r"": 1.27399024, ""class"": ""SF""}, {""r"": 1.5924878, ""class"": ""SF""}, {""r"": 1.91098536, ""class"": ""SF""}, {""r"": 2.22948292, ""class"": ""SF""}, {""r"": 2.54798048, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.86647804, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 3.1849756, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/All Classifications/Figures/8564/8564-9102.png
8565-12701,12.675514301457717,Bad_SNR (Lineless),Bad_SNR (Lineless),Bad_SNR (Lineless),False,nan,Bad_SNR (Lineless),Bad_SNR (Lineless),SF,False,nan,Bad_SNR (Lineless),Bad_SNR (Lineless),Bad_SNR (Lineless),False,nan,Bad_SNR (Lineless),Bad_SNR (Lineless),Bad_SNR (Lineless),False,nan,,/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/All Classifications/Figures/8565/8565-12701.png
8565-12702,3.7978513159203984,eLIER,LIER,Bad_SNR (Lineless),False,0.7874918999999999,eLIER,LIER,Bad_SNR (Lineless),False,0.86846255,eLIER,LIER,Bad_SNR (Lineless),False,0.7874918999999999,eLIER,LIER,Bad_SNR (Lineless),False,0.7874918999999999,"[{""r"": 0.13124865, ""class"": ""LIER""}, {""r"": 0.2624973, ""class"": ""LIER""}, {""r"": 0.39374595, ""class"": ""LIER""}, {""r"": 0.5249946, ""class"": ""LIER""}, {""r"": 0.65624325, ""class"": ""LIER""}, {""r"": 0.7874918999999999, ""class"": ""LIER""}, {""r"": 0.9187405499999999, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.0499892, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.18123785, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.3124865000000001, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/All Classifications/Figures/8565/8565-12702.png
8565-12703,19.56199468171206,outLIER,SF,Bad_SNR (Lineless),False,1.41388751,outLIER,SF,Bad_SNR (Lineless),False,1.51844976,outLIER,SF,Bad_SNR (Lineless),False,1.41388751,outLIER,SF,Bad_SNR (Lineless),False,1.41388751,"[{""r"": 0.20198393, ""class"": ""SF""}, {""r"": 0.40396786, ""class"": ""SF""}, {""r"": 0.60595179, ""class"": ""SF""}, {""r"": 0.80793572, ""class"": ""SF""}, {""r"": 1.00991965, ""class"": ""SF""}, {""r"": 1.21190358, ""class"": ""SF""}, {""r"": 1.41388751, ""class"": ""LIER""}, {""r"": 1.6158714399999998, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.8178553699999997, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.0198392999999997, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.2218232299999996, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/All Classifications/Figures/8565/8565-12703.png
8565-12704,14.060972110572303,outLIER,SF,SF,False,0.5792159,outLIER,SF,SF,False,0.7282495200000001,outLIER,SF,SF,False,0.5792159,SF,SF,SF,False,nan,"[{""r"": 0.11584318, ""class"": ""SF""}, {""r"": 0.23168636, ""class"": ""SF""}, {""r"": 0.34752954, ""class"": ""SF""}, {""r"": 0.46337272, ""class"": ""SF""}, {""r"": 0.5792159, ""class"": ""LIER""}, {""r"": 0.69505908, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 0.8109022600000001, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 0.9267454400000001, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.04258862, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.1584318, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/All Classifications/Figures/8565/8565-12704.png
8565-12705,17.65815161976048,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,"[{""r"": 0.25128467, ""class"": ""SF""}, {""r"": 0.50256934, ""class"": ""SF""}, {""r"": 0.75385401, ""class"": ""SF""}, {""r"": 1.00513868, ""class"": ""SF""}, {""r"": 1.25642335, ""class"": ""SF""}, {""r"": 1.50770802, ""class"": ""SF""}, {""r"": 1.75899269, ""class"": ""SF""}, {""r"": 2.01027736, ""class"": ""SF""}, {""r"": 2.26156203, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.5128467, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/All Classifications/Figures/8565/8565-12705.png
8565-1901,0.005274075766315789,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,,/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/All Classifications/Figures/8565/8565-1901.png
8565-1902,40.56790591836734,SF,SF,SF,False,nan,SF,SF,SF,True,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,"[{""r"": 0.22259207, ""class"": ""SF""}, {""r"": 0.44518414, ""class"": ""SF""}, {""r"": 0.66777621, ""class"": ""SF""}, {""r"": 0.89036828, ""class"": ""SF""}, {""r"": 1.11296035, ""class"": ""SF""}, {""r"": 1.33555242, ""class"": ""SF""}, {""r"": 1.5581444899999999, ""class"": ""SF""}, {""r"": 1.7807365599999998, ""class"": ""SF""}, {""r"": 2.00332863, ""class"": ""SF""}, {""r"": 2.2259207, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/All Classifications/Figures/8565/8565-1902.png
8565-3701,17.18405717266187,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,"[{""r"": 0.25673144, ""class"": ""SF""}, {""r"": 0.51346288, ""class"": ""SF""}, {""r"": 0.7701943199999999, ""class"": ""SF""}, {""r"": 1.02692576, ""class"": ""SF""}, {""r"": 1.2836572, ""class"": ""SF""}, {""r"": 1.54038864, ""class"": ""SF""}, {""r"": 1.79712008, ""class"": ""SF""}, {""r"": 2.05385152, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.3105829599999996, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.5673143999999994, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.8240458399999993, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/All Classifications/Figures/8565/8565-3701.png
8565-3702,0.2619413339141414,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,,/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/All Classifications/Figures/8565/8565-3702.png
8565-3703,23.434096331343284,Sy,Sy,Bad_SNR (Lineless),True,nan,Sy,Sy,Sy,True,nan,Sy,Sy,Bad_SNR (Lineless),True,nan,Sy,Sy,Bad_SNR (Lineless),True,nan,"[{""r"": 0.20208910000000002, ""class"": ""Sy""}, {""r"": 0.40417820000000004, ""class"": ""Sy""}, {""r"": 0.6062673000000001, ""class"": ""Sy""}, {""r"": 0.8083564000000001, ""class"": ""Sy""}, {""r"": 1.0104455, ""class"": ""Sy""}, {""r"": 1.2125346000000001, ""class"": ""Sy""}, {""r"": 1.4146237000000002, ""class"": ""Sy""}, {""r"": 1.6167128000000002, ""class"": ""Sy""}, {""r"": 1.8188019000000002, ""class"": ""Sy""}, {""r"": 2.020891, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/All Classifications/Figures/8565/8565-3703.png
