plateifu,ew_1re,sn3_lier05_class,sn3_lier05_central,sn3_lier05_outer,sn3_lier05_has_sy_annulus,sn3_lier05_last_lier_re,sn2_lier05_class,sn2_lier05_central,sn2_lier05_outer,sn2_lier05_has_sy_annulus,sn2_lier05_last_lier_re,sn3_lier04_class,sn3_lier04_central,sn3_lier04_outer,sn3_lier04_has_sy_annulus,sn3_lier04_last_lier_re,sn3_lier06_class,sn3_lier06_central,sn3_lier06_outer,sn3_lier06_has_sy_annulus,sn3_lier06_last_lier_re,baseline_radial_profile,bpt_figure_path
12030-9101,3.0450234111111114,Bad_SNR (Lineless),Bad_SNR (Lineless),Bad_SNR (Lineless),False,nan,Bad_SNR (Lineless),Bad_SNR (Lineless),Bad_SNR (Lineless),False,nan,Bad_SNR (Lineless),Bad_SNR (Lineless),Bad_SNR (Lineless),False,nan,Bad_SNR (Lineless),Bad_SNR (Lineless),Bad_SNR (Lineless),False,nan,,/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/12030/12030-9101.png
9864-1901,0.12843899727272726,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,,/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/9864/9864-1901.png
12483-9102,41.17906681502423,Sy,Sy,Sy,True,nan,Sy,Sy,Sy,True,nan,Sy,Sy,Sy,True,nan,Sy,Sy,Sy,True,nan,"[{""r"": 0.0120489076, ""class"": ""Sy""}, {""r"": 0.0240978152, ""class"": ""Sy""}, {""r"": 0.0361467228, ""class"": ""Sy""}, {""r"": 0.0481956304, ""class"": ""Sy""}, {""r"": 0.060244538, ""class"": ""Sy""}, {""r"": 0.0722934456, ""class"": ""Sy""}, {""r"": 0.08434235320000001, ""class"": ""LIER""}, {""r"": 0.09639126080000002, ""class"": ""LIER""}, {""r"": 0.10844016840000002, ""class"": ""LIER""}, {""r"": 0.12048907600000003, ""class"": ""LIER""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/12483/12483-9102.png
8325-12703,5.0851622616104875,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,"[{""r"": 0.21686707, ""class"": ""SF""}, {""r"": 0.43373414, ""class"": ""SF""}, {""r"": 0.65060121, ""class"": ""SF""}, {""r"": 0.86746828, ""class"": ""SF""}, {""r"": 1.08433535, ""class"": ""SF""}, {""r"": 1.3012024199999999, ""class"": ""SF""}, {""r"": 1.5180694899999998, ""class"": ""SF""}, {""r"": 1.7349365599999997, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.9518036299999997, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.1686707, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/8325/8325-12703.png
8274-12701,25.639859718446594,SF,SF,Bad_SNR (Lineless),False,nan,SF,SF,Bad_SNR (Lineless),False,nan,SF,SF,Bad_SNR (Lineless),False,nan,SF,SF,Bad_SNR (Lineless),False,nan,"[{""r"": 0.39502053, ""class"": ""SF""}, {""r"": 0.79004106, ""class"": ""SF""}, {""r"": 1.1850615899999999, ""class"": ""SF""}, {""r"": 1.58008212, ""class"": ""SF""}, {""r"": 1.97510265, ""class"": ""SF""}, {""r"": 2.3701231799999998, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.76514371, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 3.16016424, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 3.55518477, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 3.9502053, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/8274/8274-12701.png
9048-1901,2.380694651020408,eLIER,LIER,Bad_SNR (Lineless),False,1.64895835,eLIER,LIER,LIER,False,2.6383333600000003,eLIER,LIER,Bad_SNR (Lineless),False,1.64895835,eLIER,LIER,Bad_SNR (Lineless),False,1.64895835,"[{""r"": 0.32979167, ""class"": ""LIER""}, {""r"": 0.65958334, ""class"": ""LIER""}, {""r"": 0.9893750099999999, ""class"": ""LIER""}, {""r"": 1.31916668, ""class"": ""LIER""}, {""r"": 1.64895835, ""class"": ""LIER""}, {""r"": 1.97875002, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.30854169, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.6383333600000003, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.9681250300000004, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 3.2979167000000005, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/9048/9048-1901.png
8088-3702,0.15881615176490063,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,,/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/8088/8088-3702.png
12042-3703,nan,ERROR: MarvinError,,,False,nan,ERROR: MarvinError,,,False,nan,ERROR: MarvinError,,,False,nan,ERROR: MarvinError,,,False,nan,,
10216-1901,0.40337515363636367,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,,/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/10216/10216-1901.png
12673-12705,0.6035380835573122,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,,/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/12673/12673-12705.png
9032-6102,2.1760186608695653,cLIER,LIER,Bad_SNR (Lineless),True,0.62202972,cLIER,LIER,Bad_SNR (Lineless),True,0.6662681699999999,cLIER,LIER,Bad_SNR (Lineless),True,0.62202972,cLIER,LIER,Bad_SNR (Lineless),True,0.62202972,"[{""r"": 0.20734324, ""class"": ""LIER""}, {""r"": 0.41468648, ""class"": ""LIER""}, {""r"": 0.62202972, ""class"": ""LIER""}, {""r"": 0.82937296, ""class"": ""Sy""}, {""r"": 1.0367162, ""class"": ""SF""}, {""r"": 1.24405944, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.45140268, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.6587459199999999, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.8660891599999998, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.0734323999999997, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.28077564, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/9032/9032-6102.png
10146-3703,nan,ERROR: MarvinError,,,False,nan,ERROR: MarvinError,,,False,nan,ERROR: MarvinError,,,False,nan,ERROR: MarvinError,,,False,nan,,
9484-12702,0.39090936596566667,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,Lineless,Lineless,Lineless,False,nan,,/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/9484/9484-12702.png
8323-6102,1.017067278952381,Bad_SNR (Lineless),Bad_SNR (Lineless),Bad_SNR (Lineless),False,nan,Bad_SNR (Lineless),Bad_SNR (Lineless),Bad_SNR (Lineless),False,nan,Bad_SNR (Lineless),Bad_SNR (Lineless),Bad_SNR (Lineless),False,nan,Bad_SNR (Lineless),Bad_SNR (Lineless),Bad_SNR (Lineless),False,nan,,/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/8323/8323-6102.png
11025-1902,25.539263714285713,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,SF,SF,SF,False,nan,"[{""r"": 0.9939273999999999, ""class"": ""SF""}, {""r"": 1.9878547999999998, ""class"": ""SF""}, {""r"": 2.9817821999999996, ""class"": ""SF""}, {""r"": 3.9757095999999996, ""class"": ""SF""}, {""r"": 4.969637, ""class"": ""SF""}, {""r"": 5.963564399999999, ""class"": ""SF""}, {""r"": 6.957491799999999, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 7.951419199999998, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 8.945346599999999, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 9.939274, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/11025/11025-1902.png
12069-3703,nan,Merger,Merger,Merger,False,nan,Merger,Merger,Merger,False,nan,Merger,Merger,Merger,False,nan,Merger,Merger,Merger,False,nan,,
8331-12703,45.82815794759826,SF,SF,SF,True,nan,SF,SF,SF,False,nan,SF,SF,SF,True,nan,SF,SF,SF,True,nan,"[{""r"": 0.23240407, ""class"": ""SF""}, {""r"": 0.46480814, ""class"": ""SF""}, {""r"": 0.69721221, ""class"": ""SF""}, {""r"": 0.92961628, ""class"": ""SF""}, {""r"": 1.16202035, ""class"": ""SF""}, {""r"": 1.39442442, ""class"": ""SF""}, {""r"": 1.62682849, ""class"": ""Sy""}, {""r"": 1.8592325600000001, ""class"": ""SF""}, {""r"": 2.09163663, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.3240407, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/8331/8331-12703.png
12082-3703,nan,Merger,Merger,Merger,False,nan,Merger,Merger,Merger,False,nan,Merger,Merger,Merger,False,nan,Merger,Merger,Merger,False,nan,,
10844-1901,12.106159984587814,SF,SF,SF,False,nan,outLIER,SF,SF,False,1.2297927599999998,outLIER,SF,SF,False,1.2297927599999998,SF,SF,SF,False,nan,"[{""r"": 0.13664364, ""class"": ""SF""}, {""r"": 0.27328728, ""class"": ""SF""}, {""r"": 0.40993092000000003, ""class"": ""SF""}, {""r"": 0.54657456, ""class"": ""SF""}, {""r"": 0.6832182, ""class"": ""SF""}, {""r"": 0.81986184, ""class"": ""SF""}, {""r"": 0.9565054799999999, ""class"": ""SF""}, {""r"": 1.0931491199999999, ""class"": ""SF""}, {""r"": 1.2297927599999998, ""class"": ""SF""}, {""r"": 1.3664363999999998, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.5030800399999997, ""class"": ""Bad_SNR (Lineless)""}]",/home/idies/workspace/Storage/oturner11/persistent/LIER classification pipeline/Test BPT figures/10844/10844-1901.png
