mangaid,plateifu,ewha_1re,classification,classification_in_1psf,classification_out_1psf,last_lier_re,sy_annulus_flag,baseline_radial_profile,log_sersic_mass,log_elpetro_mass,phi,nsa_sersic_absmag [FNugriz]
1-523117,8311-12704,24.663952533333333,SF,SF,Bad_SNR (Lineless),,False,"[{""r"": 0.25389175, ""class"": ""SF""}, {""r"": 0.5077835, ""class"": ""SF""}, {""r"": 0.7616752500000001, ""class"": ""SF""}, {""r"": 1.015567, ""class"": ""SF""}, {""r"": 1.26945875, ""class"": ""SF""}, {""r"": 1.5233505, ""class"": ""SF""}, {""r"": 1.77724225, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.031134, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.2850257500000004, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.5389175000000006, ""class"": ""Bad_SNR (Lineless)""}]",9.18783363851598,9.196648648236195,144.972,[-14.2372 -14.8731 -16.3938 -17.6183 -18.1729 -18.3868 -18.6268]
1-522742,8311-12705,18.141648870535715,SF,SF,SF,,False,"[{""r"": 0.21689775, ""class"": ""SF""}, {""r"": 0.4337955, ""class"": ""SF""}, {""r"": 0.65069325, ""class"": ""SF""}, {""r"": 0.867591, ""class"": ""SF""}, {""r"": 1.08448875, ""class"": ""SF""}, {""r"": 1.3013865, ""class"": ""SF""}, {""r"": 1.51828425, ""class"": ""SF""}, {""r"": 1.735182, ""class"": ""SF""}, {""r"": 1.95207975, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.1689775, ""class"": ""Bad_SNR (Lineless)""}]",9.86010911800045,9.74162740683599,49.2393,[-16.8768 -17.1518 -18.0033 -19.1744 -19.737  -19.8992 -20.1436]
1-523154,8311-1901,1.334328955272727,eLIER,LIER,Bad_SNR (Lineless),0.96627748,False,"[{""r"": 0.13803964, ""class"": ""LIER""}, {""r"": 0.27607928, ""class"": ""LIER""}, {""r"": 0.41411891999999995, ""class"": ""LIER""}, {""r"": 0.55215856, ""class"": ""LIER""}, {""r"": 0.6901982, ""class"": ""LIER""}, {""r"": 0.82823784, ""class"": ""LIER""}, {""r"": 0.96627748, ""class"": ""LIER""}, {""r"": 1.10431712, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.2423567599999998, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.3803963999999997, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.5184360399999997, ""class"": ""Bad_SNR (Lineless)""}]",9.99371082941505,9.884489494829575,26.225,[-12.3012 -14.0335 -17.2241 -18.8639 -19.6004 -19.9435 -20.209 ]
1-519393,8311-1902,0.155716672,Lineless,Lineless,Lineless,,False,,10.032276185782852,9.987857008777038,15.1977,[-13.6437 -13.419  -17.0885 -18.8727 -19.8055 -20.0494 -20.1626]
1-519412,8311-3701,3.1715119619999994,Sy,Sy,Sy,,True,"[{""r"": 0.28784993000000003, ""class"": ""Sy""}, {""r"": 0.5756998600000001, ""class"": ""Sy""}, {""r"": 0.8635497900000001, ""class"": ""Sy""}, {""r"": 1.1513997200000001, ""class"": ""Sy""}, {""r"": 1.4392496500000003, ""class"": ""Sy""}, {""r"": 1.7270995800000004, ""class"": ""Sy""}, {""r"": 2.0149495100000006, ""class"": ""Sy""}, {""r"": 2.3027994400000007, ""class"": ""Sy""}, {""r"": 2.590649370000001, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.878499300000001, ""class"": ""Bad_SNR (Lineless)""}]",9.786737938937641,9.749771861349535,27.3776,[-12.9686 -14.4831 -16.8225 -18.3598 -19.1125 -19.4601 -19.7236]
1-522735,8311-3702,25.40664956692913,SF,SF,SF,,False,"[{""r"": 0.26710625, ""class"": ""SF""}, {""r"": 0.5342125, ""class"": ""SF""}, {""r"": 0.80131875, ""class"": ""SF""}, {""r"": 1.068425, ""class"": ""SF""}, {""r"": 1.3355312499999998, ""class"": ""SF""}, {""r"": 1.6026374999999997, ""class"": ""SF""}, {""r"": 1.8697437499999996, ""class"": ""SF""}, {""r"": 2.1368499999999995, ""class"": ""SF""}, {""r"": 2.4039562499999994, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.6710624999999992, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.938168749999999, ""class"": ""Bad_SNR (Lineless)""}]",8.868992204846998,8.826245246039495,125.985,[-14.8543 -15.1593 -16.0147 -17.0048 -17.4605 -17.6364 -17.7346]
1-626924,8311-3703,13.005708387777778,SF,SF,SF,,False,"[{""r"": 0.16979104, ""class"": ""SF""}, {""r"": 0.33958208, ""class"": ""SF""}, {""r"": 0.50937312, ""class"": ""SF""}, {""r"": 0.67916416, ""class"": ""SF""}, {""r"": 0.8489552, ""class"": ""SF""}, {""r"": 1.01874624, ""class"": ""SF""}, {""r"": 1.18853728, ""class"": ""SF""}, {""r"": 1.35832832, ""class"": ""SF""}, {""r"": 1.52811936, ""class"": ""SF""}, {""r"": 1.6979104, ""class"": ""Bad_SNR (Lineless)""}]",10.619407454110318,10.613849218556082,135.852,[-17.0037 -17.8872 -19.4335 -20.7918 -21.4622 -21.8021 -22.0871]
1-519429,8311-3704,1.9250686876296292,cLIER,LIER,SF,0.99795235,False,"[{""r"": 0.19959047000000002, ""class"": ""LIER""}, {""r"": 0.39918094000000004, ""class"": ""LIER""}, {""r"": 0.5987714100000001, ""class"": ""LIER""}, {""r"": 0.7983618800000001, ""class"": ""LIER""}, {""r"": 0.99795235, ""class"": ""LIER""}, {""r"": 1.19754282, ""class"": ""SF""}, {""r"": 1.39713329, ""class"": ""SF""}, {""r"": 1.59672376, ""class"": ""SF""}, {""r"": 1.79631423, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.9959046999999999, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.19549517, ""class"": ""Bad_SNR (Lineless)""}]",10.527722677912415,10.373445342297979,25.3694,[-16.0368 -16.4641 -18.5189 -20.0912 -20.9194 -21.2936 -21.6808]
1-519444,8311-6101,0.6007325281746988,Lineless,Lineless,Lineless,,False,,11.042351023011646,10.908427645324185,75.5412,[-14.307  -16.2283 -19.5836 -21.319  -22.1689 -22.5883 -22.8737]
1-519407,8311-6102,0.123892936145898,Lineless,Lineless,Lineless,,False,,10.624753271451036,10.443247336925102,34.6924,[-13.7285 -15.0547 -18.6529 -20.3837 -21.1409 -21.494  -21.8143]
